stn,date,time,temp,dewp,stp,slp,visib,wdsp,prcp,sndp,frshtt,cldp,winddir
766493,2021-01-27,10:29:16,7.1,2.8,1013.3,1015.1,12.8,19.2,0.03,0.0,010000,50.7,354
766493,2021-01-27,10:29:16,7.1,2.8,1013.3,1015.1,12.8,19.2,0.03,0.0,010000,50.7,354
761300,2021-01-27,10:29:16,-2.7,-12.6,1050.2,1022.8,39.4,6.2,0.0,0.0,100000,38.5,157
766753,2021-01-27,10:29:16,0.3,-8.1,1006.9,1014.3,9.7,6.4,0.0,0.0,000000,25.7,42
766913,2021-01-27,10:29:16,7.5,4.5,1012.6,1008.5,9.8,13.5,0.13,0.0,010000,50.9,289
768053,2021-01-27,10:29:16,10.8,7.6,994.8,990.3,9.3,4.5,0.0,0.0,000000,78.9,44
764125,2021-01-27,10:29:16,11.1,-2.8,984.5,977.8,10.4,8.3,0.0,0.0,000000,12.9,281
765905,2021-01-27,10:29:16,10.2,0.4,1019.1,1015.3,13.7,10.8,0.0,0.0,000000,3.3,66
763420,2021-01-27,10:29:16,6.9,-1.6,979.6,1016.4,21.4,8.7,0.01,0.0,010000,50.5,335
765906,2021-01-27,10:29:16,2.6,5.2,1012.5,1010.3,9.7,14.3,0.09,0.0,010000,88.3,247
767584,2021-01-27,10:29:16,13.9,7.6,1004.2,1004.0,12.7,9.7,0.0,0.0,000000,39.3,352
761600,2021-01-27,10:29:16,6.3,-4.4,1000.3,1016.6,24.2,2.9,0.0,0.0,000000,48.2,243
768556,2021-01-27,10:29:16,9.3,3.2,1011.8,1016.4,15.3,13.3,0.0,0.0,000000,23.7,191
762580,2021-01-27,10:29:16,4.8,-3.8,1011.9,1016.9,15.2,9.8,0.0,0.0,000000,30.0,236
765480,2021-01-27,10:29:16,10.5,6.8,1020.1,1023.3,15.7,1.7,0.0,0.0,000000,86.2,96
765710,2021-01-27,10:29:16,4.8,-6.0,968.8,1013.5,19.7,9.4,0.01,0.0,010000,50.0,338
767383,2021-01-27,10:29:16,14.0,11.3,1010.9,1014.5,11.0,17.8,0.0,0.0,000000,60.3,176
765773,2021-01-27,10:29:16,3.9,-6.4,1014.0,1008.9,13.3,8.4,0.0,0.0,000000,48.7,257
766010,2021-01-27,10:29:16,8.1,4.8,1032.0,1016.1,17.8,5.7,0.0,0.0,000000,49.3,188
766580,2021-01-27,10:29:16,12.3,-0.3,965.5,1009.9,17.8,9.4,0.0,0.0,000000,37.3,167
761180,2021-01-27,10:29:16,2.5,-10.5,1013.5,1012.1,40.8,8.8,0.0,0.0,000000,45.3,96
767433,2021-01-27,10:29:16,13.1,9.0,1005.2,1006.7,9.9,14.5,0.01,0.0,010000,50.5,200
766540,2021-01-27,10:29:16,14.3,9.0,1015.1,1015.4,7.8,9.9,0.0,0.0,000000,46.4,146
767441,2021-01-27,10:29:16,8.4,6.0,1009.7,1046.6,7.0,2.1,0.0,0.0,000000,83.2,295
766546,2021-01-27,10:29:16,8.2,6.8,995.7,997.6,12.4,5.7,0.0,0.0,000000,46.6,127
767260,2021-01-27,10:29:16,7.8,-10.5,843.2,1012.6,15.4,1.5,0.0,0.0,000000,13.3,215
766342,2021-01-27,10:29:16,0.2,-12.8,1034.7,1029.8,9.5,13.0,0.0,0.0,000000,22.6,184
761510,2021-01-27,10:29:16,11.2,9.5,1006.9,1023.1,28.0,35.0,0.0,0.0,000000,70.0,30
765494,2021-01-27,10:29:16,9.3,8.6,988.2,1012.3,7.0,3.5,0.0,0.0,000000,97.3,222
764591,2021-01-27,10:29:16,9.6,6.0,1021.0,1014.1,16.1,4.1,0.0,0.0,000000,35.1,51
763900,2021-01-27,10:29:16,3.6,-3.9,823.5,1014.5,12.5,11.1,0.05,0.0,010000,50.4,55
764050,2021-01-27,10:29:16,10.5,1.9,1011.9,1014.9,27.4,18.8,0.0,0.0,000000,64.8,302
762863,2021-01-27,10:29:16,4.7,-2.8,1004.3,1011.9,14.0,15.3,0.0,0.0,000000,43.2,227
764990,2021-01-27,10:29:16,6.5,3.2,1011.1,1018.0,43.1,7.4,0.0,0.0,000000,34.3,123
766534,2021-01-27,10:29:16,13.4,8.1,997.6,1002.8,14.1,12.3,0.0,0.0,000000,68.7,201
766133,2021-01-27,10:29:16,2.1,-9.9,1013.4,1011.1,13.2,7.5,0.0,0.0,000000,37.7,292
767755,2021-01-27,10:29:16,6.0,-8.3,1006.3,1012.4,11.4,8.8,0.0,0.0,000000,32.4,188
762530,2021-01-27,10:29:16,6.5,-3.4,1005.0,1017.6,17.8,8.2,0.01,0.0,010000,50.1,53
760610,2021-01-27,10:29:16,8.5,4.1,1019.2,1012.4,39.0,12.4,0.0,0.0,000000,63.2,118
766250,2021-01-27,10:29:16,6.2,-2.9,898.7,985.1,9.8,16.2,0.01,0.0,010000,50.4,35
765560,2021-01-27,10:29:16,4.0,-5.5,910.2,1012.2,17.6,9.5,0.0,0.0,000000,50.0,330
760013,2021-01-27,10:29:16,7.0,2.1,1015.3,1011.7,10.4,6.0,0.0,0.0,000000,44.5,9
760013,2021-01-26,10:29:16,10.0,2.1,1015.3,1011.7,10.4,6.0,0.0,0.0,000000,44.5,9
760013,2021-01-25,10:29:16,16.0,2.1,1015.3,1011.7,10.4,6.0,0.0,0.0,000000,44.5,9
760013,2021-01-24,10:29:16,20.0,2.1,1015.3,1011.7,10.4,6.0,0.0,0.0,000000,44.5,8
763050,2021-01-27,10:29:16,14.1,8.5,1016.9,1017.1,17.1,2.6,0.0,0.0,000000,99.6,272
767500,2021-01-27,10:29:16,11.6,7.7,1013.1,1014.7,11.2,16.5,0.09,0.0,010000,50.6,292
760053,2021-01-27,10:29:16,6.7,-2.4,998.7,1021.2,18.2,4.6,0.0,0.0,000000,2.0,261
764056,2021-01-27,10:29:16,13.1,1.4,1012.3,1007.7,10.3,17.9,0.0,0.0,000000,75.0,16
763615,2021-01-27,10:29:16,11.4,2.3,1014.0,1017.4,17.4,6.4,0.0,0.0,000000,1.2,24
762430,2021-01-27,10:29:16,3.6,-4.5,991.1,1019.9,13.7,7.6,0.03,0.0,000000,71.6,335
766440,2021-01-27,10:29:16,9.9,3.7,1014.3,1017.0,9.8,15.7,0.01,0.0,010000,50.4,39
765255,2021-01-27,10:29:16,0.9,-14.6,992.0,1010.8,16.6,10.8,0.0,0.0,000000,24.7,82
763820,2021-01-27,10:29:16,2.9,-7.8,929.6,1015.5,15.7,5.3,0.01,0.0,010000,50.0,178
763503,2021-01-27,10:29:16,6.4,0.7,1011.7,1008.2,10.8,13.3,0.19,0.0,010000,92.4,114
766950,2021-01-27,10:29:16,10.0,6.4,1015.2,1017.2,12.4,14.0,0.01,0.0,010000,70.7,132
766655,2021-01-27,10:29:16,9.5,3.8,996.2,1013.3,14.8,10.0,0.21,0.0,010000,55.4,82
766850,2021-01-27,10:29:16,2.5,-8.4,787.7,1012.5,15.0,7.9,0.03,0.0,010000,50.2,155
767410,2021-01-27,10:29:16,10.6,7.4,1013.8,1014.1,7.7,10.9,0.05,0.0,010000,52.5,70
768485,2021-01-27,10:29:16,17.2,9.2,1007.0,1005.3,11.9,7.6,0.0,0.0,000000,15.7,218
766013,2021-01-27,10:29:16,7.7,4.4,1011.4,1007.3,18.8,6.9,0.0,0.0,000000,4.8,116
768430,2021-01-27,10:29:16,6.9,1.9,952.7,1017.9,12.6,17.0,0.0,0.0,000000,90.5,313
766790,2021-01-27,10:29:16,1.7,-13.7,780.3,1015.3,13.2,7.2,0.04,0.0,010000,51.3,163
764915,2021-01-27,10:29:16,8.6,0.4,1014.7,1008.9,18.7,17.4,0.0,0.0,000000,80.2,164
760754,2021-01-27,10:29:16,7.7,4.3,1024.2,1015.9,12.1,5.3,0.0,0.0,000000,83.9,330
763993,2021-01-27,10:29:16,8.4,3.7,1009.4,1013.0,8.8,15.6,0.0,0.0,000000,16.7,163
760753,2021-01-27,10:29:16,4.0,-5.6,1004.7,1014.7,14.9,8.7,0.0,0.0,000000,11.1,301
763943,2021-01-27,10:29:16,7.5,0.0,1009.7,1007.7,13.7,10.6,0.36,0.0,010000,50.3,206
766340,2021-01-27,10:29:16,1.7,-7.4,787.7,1009.6,10.7,6.0,0.02,0.0,010000,51.5,101
763940,2021-01-27,10:29:16,5.0,-3.5,1009.1,1009.7,12.1,16.2,0.0,0.0,000000,44.1,347
765493,2021-01-27,10:29:16,9.8,6.5,1015.8,1012.7,10.7,16.2,0.0,0.0,000000,87.0,58
763944,2021-01-27,10:29:16,7.1,3.4,1012.0,1012.8,13.4,8.9,0.0,0.0,000000,89.8,25
766490,2021-01-27,10:29:16,10.8,6.4,992.1,1017.7,12.7,16.0,1.13,0.0,010000,50.8,128
766443,2021-01-27,10:29:16,14.0,9.3,1004.3,1010.3,11.6,24.1,0.0,0.0,000000,35.9,62
766793,2021-01-27,10:29:16,2.4,-8.2,1006.7,1006.4,12.4,8.1,0.0,0.0,000000,42.1,123
766870,2021-01-27,10:29:16,7.0,3.3,873.8,1022.8,8.7,2.7,0.0,0.0,000000,42.1,47
767502,2021-01-27,10:29:16,13.6,8.8,1011.7,1020.7,11.4,36.5,0.0,0.0,000000,71.2,346
766127,2021-01-27,10:29:16,9.7,7.4,1014.3,1021.0,5.8,8.2,0.0,0.0,000000,36.0,172
766491,2021-01-27,10:29:16,7.4,0.4,1012.2,1007.1,10.6,7.5,0.0,0.0,000000,24.2,136
765491,2021-01-27,10:29:16,7.8,3.7,1046.9,1034.9,10.3,5.9,0.0,0.0,000000,73.6,41
766920,2021-01-27,10:29:16,10.3,5.9,1020.3,1021.7,4.0,13.7,0.0,0.0,000000,14.2,258
766011,2021-01-27,10:29:16,9.8,7.9,1019.2,1013.2,15.9,5.3,0.0,0.0,000000,84.0,179
768056,2021-01-27,10:29:16,15.4,8.1,1015.6,1010.9,12.5,4.2,0.0,0.0,000000,77.8,338
764055,2021-01-27,10:29:16,7.3,0.0,995.8,1004.6,18.9,8.2,0.0,0.0,000000,45.5,249
764120,2021-01-27,10:29:16,3.7,1.8,1012.2,1015.2,17.2,7.8,0.05,0.0,010000,51.2,185
764580,2021-01-27,10:29:16,7.7,5.7,1015.1,1015.5,12.7,5.3,0.0,0.0,000000,20.1,132
766910,2021-01-27,10:29:16,12.7,7.8,1012.4,1014.6,10.4,11.2,0.0,0.0,000000,64.7,243
767493,2021-01-27,10:29:16,12.7,8.4,1007.1,1015.1,9.4,17.3,0.0,0.0,000000,70.4,131
764593,2021-01-27,10:29:16,7.6,0.3,1006.3,1009.3,16.5,5.7,0.0,0.0,000000,26.4,215
760053,2021-01-27,10:29:17,6.7,-2.4,998.6,1021.2,18.3,4.6,0.0,0.0,000000,2.0,261
766133,2021-01-27,10:29:17,2.1,-9.9,1013.3,1011.2,13.3,7.4,0.0,0.0,000000,0.0,292
766127,2021-01-27,10:29:17,2.8,6.7,1014.3,1020.8,5.8,8.1,0.0,0.0,000000,36.0,172
768485,2021-01-27,10:29:17,16.5,8.3,1007.0,1005.4,11.8,7.5,0.0,0.0,000000,15.7,218
760754,2021-01-27,10:29:17,8.5,4.3,1024.3,1015.9,12.1,5.2,0.0,0.0,000000,83.9,330
760753,2021-01-27,10:29:17,4.0,-5.6,1004.7,1014.7,14.9,8.7,0.0,0.0,000000,11.2,302
764591,2021-01-27,10:29:17,9.6,5.0,1020.9,1014.1,16.2,4.1,0.0,0.0,000000,35.1,51
764580,2021-01-27,10:29:17,7.7,5.7,1015.1,1015.5,12.6,5.3,0.0,0.0,000000,20.1,132
763503,2021-01-27,10:29:17,6.4,0.7,1011.8,1008.2,10.8,13.4,0.19,0.0,010000,92.5,114
764593,2021-01-27,10:29:17,8.3,1.9,1006.2,1009.3,16.4,5.6,0.0,0.0,000000,26.4,215
765773,2021-01-27,10:29:17,3.3,-8.0,1014.0,1008.9,13.2,8.4,0.0,0.0,000000,48.6,257
769043,2021-01-27,10:29:17,8.7,2.7,1000.4,1003.3,16.6,11.2,0.0,0.0,000000,70.3,157
764915,2021-01-27,10:29:17,8.6,-0.9,1014.7,1009.0,18.6,17.5,0.0,0.0,000000,80.1,164
768556,2021-01-27,10:29:17,9.3,2.6,1011.9,1016.4,15.4,13.2,0.0,0.0,000000,23.7,192
767500,2021-01-27,10:29:17,11.6,8.8,1013.1,1014.7,11.1,16.6,0.09,0.0,010000,50.6,293
767502,2021-01-27,10:29:17,13.6,8.8,1011.7,1020.7,11.3,36.4,0.0,0.0,000000,71.2,347
767493,2021-01-27,10:29:17,13.7,8.9,1007.0,1015.1,9.4,17.2,0.0,0.0,000000,70.5,132
766010,2021-01-27,10:29:17,8.1,4.8,1032.0,1016.1,17.7,5.6,0.0,0.0,000000,49.2,189
764050,2021-01-27,10:29:17,10.5,1.9,1011.9,1014.9,27.4,19.0,0.0,0.0,000000,64.9,302
766011,2021-01-27,10:29:17,9.8,7.1,1018.9,1013.2,15.9,5.4,0.0,0.0,000000,84.1,179
766655,2021-01-27,10:29:17,9.5,3.8,996.3,1013.3,14.8,9.9,0.21,0.0,010000,55.4,82
762530,2021-01-27,10:29:17,5.7,-3.4,1005.0,1017.6,17.7,8.3,0.01,0.0,010000,50.1,54
764055,2021-01-27,10:29:17,2.3,1.4,995.8,1004.6,18.9,8.3,0.0,0.0,000000,45.5,249
763820,2021-01-27,10:29:17,3.6,-9.7,929.6,1015.5,15.6,5.2,0.01,0.0,010000,50.0,178
764990,2021-01-27,10:29:17,6.5,3.2,1011.0,1018.0,43.0,7.5,0.0,0.0,000000,34.3,123
766493,2021-01-27,10:29:17,8.6,2.8,1013.3,1015.1,12.9,19.1,0.03,0.0,010000,50.7,355
766490,2021-01-27,10:29:17,9.4,5.6,992.2,1017.7,12.8,16.0,1.13,0.0,010000,50.9,129
764056,2021-01-27,10:29:17,13.1,2.4,1012.5,1008.0,10.3,17.9,0.0,0.0,000000,75.1,17
766491,2021-01-27,10:29:17,7.4,2.0,1012.3,1007.0,10.6,7.5,0.0,0.0,000000,24.1,135
766546,2021-01-27,10:29:17,8.9,6.8,995.5,998.1,12.5,5.7,0.0,0.0,000000,46.7,127
766534,2021-01-27,10:29:17,14.3,8.9,997.6,1002.8,14.0,12.2,0.0,0.0,000000,68.7,201
766013,2021-01-27,10:29:17,7.7,3.4,1011.5,1007.4,18.8,6.8,0.0,0.0,000000,4.8,116
760610,2021-01-27,10:29:17,9.6,4.8,1019.0,1012.4,39.0,12.4,0.0,0.0,000000,63.3,118
766440,2021-01-27,10:29:17,9.9,3.7,1014.3,1017.0,9.8,15.8,0.01,0.0,010000,50.4,40
766250,2021-01-27,10:29:17,6.6,-2.9,898.7,985.1,9.9,16.3,0.01,0.0,010000,50.3,35
766443,2021-01-27,10:29:17,14.8,10.4,1004.1,1010.2,11.7,24.2,0.0,0.0,000000,35.9,63
763993,2021-01-27,10:29:17,9.1,2.8,1009.4,1013.0,8.8,15.7,0.0,0.0,000000,16.7,163
767441,2021-01-27,10:29:17,7.0,6.0,1009.6,1046.5,7.1,2.2,0.0,0.0,000000,83.2,295
763943,2021-01-27,10:29:17,6.9,-1.2,1009.8,1007.6,13.7,10.7,0.36,0.0,010000,50.4,206
763940,2021-01-27,10:29:17,4.1,-4.8,1009.1,1009.7,12.0,16.3,0.0,0.0,000000,44.1,347
768053,2021-01-27,10:29:17,12.2,7.0,994.6,990.3,9.3,4.4,0.0,0.0,000000,78.9,44
768056,2021-01-27,10:29:17,14.5,8.1,1015.6,1010.8,12.4,4.3,0.0,0.0,000000,77.8,339
763944,2021-01-27,10:29:17,7.1,4.5,1012.1,1012.8,13.3,9.0,0.0,0.0,000000,89.8,25
765255,2021-01-27,10:29:17,1.1,-14.6,992.0,1010.5,16.7,10.6,0.0,0.0,000000,24.6,81
765906,2021-01-27,10:29:17,8.5,5.2,1012.5,1010.3,9.7,14.4,0.09,0.0,010000,88.3,247
763050,2021-01-27,10:29:17,13.1,8.5,1016.9,1017.1,17.1,2.6,0.0,0.0,000000,99.6,272
762580,2021-01-27,10:29:17,4.8,-3.8,1011.9,1016.9,15.2,9.7,0.0,0.0,000000,30.1,237
765905,2021-01-27,10:29:17,10.2,0.4,1019.1,1015.2,13.7,10.9,0.0,0.0,000000,3.2,66
760013,2021-01-27,10:29:17,7.4,2.1,1015.3,1011.6,10.4,6.1,0.0,0.0,000000,44.5,10
766950,2021-01-27,10:29:17,10.9,5.2,1015.2,1017.2,12.3,13.9,0.01,0.0,010000,70.7,131
765390,2021-01-27,10:29:17,2.3,-4.7,847.5,1013.6,13.4,6.8,0.0,0.0,000000,13.2,198
766920,2021-01-27,10:29:17,10.3,6.7,1020.3,1021.7,4.0,13.8,0.0,0.0,000000,14.2,258
762863,2021-01-27,10:29:17,4.7,-2.8,1004.3,1011.8,13.9,15.4,0.0,0.0,000000,43.1,227
766790,2021-01-27,10:29:17,2.1,-13.7,780.3,1015.3,13.1,7.3,0.04,0.0,010000,51.3,163
766793,2021-01-27,10:29:17,2.4,-9.9,1006.7,1006.5,12.4,8.0,0.0,0.0,000000,42.1,123
766753,2021-01-27,10:29:17,0.3,-8.1,1007.0,1014.3,9.7,6.5,0.0,0.0,000000,25.7,42
765480,2021-01-27,10:29:17,10.1,7.3,1020.1,1023.4,15.6,1.7,0.0,0.0,000000,86.2,95
766342,2021-01-27,10:29:17,0.2,-14.0,1034.3,1029.8,9.5,13.3,0.0,0.0,000000,22.6,184
766340,2021-01-27,10:29:17,1.3,-5.7,787.7,1009.6,10.7,5.9,0.02,0.0,010000,51.5,100
767383,2021-01-27,10:29:17,14.0,11.3,1010.9,1014.6,11.0,17.7,0.0,0.0,000000,60.4,176
763420,2021-01-27,10:29:17,6.9,-3.2,979.6,1016.4,21.3,8.8,0.01,0.0,010000,50.5,335
765710,2021-01-27,10:29:17,4.8,-6.0,968.8,1013.5,19.7,9.5,0.01,0.0,010000,50.0,338
762555,2021-01-27,10:29:17,13.2,4.2,999.8,995.6,13.4,5.8,0.0,0.0,000000,61.9,288
762430,2021-01-27,10:29:17,4.2,-2.7,991.1,1019.9,13.7,7.7,0.03,0.0,010000,71.6,335
761300,2021-01-27,10:29:17,-2.7,-14.8,1050.4,1022.9,39.3,6.3,0.0,0.0,100000,38.4,158
766540,2021-01-27,10:29:17,14.3,9.0,1015.1,1015.4,7.7,10.0,0.0,0.0,000000,46.4,146
